Source (A),Source (B),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Pos,Just apply for a job at @Apple hope they call me lol,12,92.84,79.76,1.79,99.00,12.00,0.00,83.33,50.00,16.67,16.67,8.33,0.00,0.00,0.00,8.33,0.00,8.33,16.67,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,8.33,0.00,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33
Pos,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...,24,49.05,20.24,91.31,92.40,6.00,16.67,83.33,45.83,12.50,8.33,8.33,0.00,0.00,0.00,0.00,4.17,0.00,12.50,8.33,8.33,4.17,0.00,16.67,4.17,0.00,8.33,0.00,0.00,12.50,8.33,4.17,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,12.50,8.33,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,4.17,16.67,8.33,12.50,4.17,0.00,0.00,45.83,16.67,0.00,4.17,0.00,0.00,16.67,0.00,0.00,0.00,0.00,8.33
Pos,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,25,62.61,11.52,87.83,91.14,6.25,12.00,88.00,48.00,12.00,8.00,8.00,0.00,0.00,0.00,0.00,4.00,4.00,12.00,8.00,8.00,4.00,0.00,16.00,4.00,0.00,8.00,0.00,0.00,12.00,8.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,12.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,4.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,0.00,16.00,0.00,12.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,12.00,8.00,8.00,0.00,0.00,0.00,24.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,4.00
Pos,RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!,19,21.43,50.00,4.05,99.00,6.33,31.58,84.21,47.37,10.53,5.26,5.26,0.00,0.00,0.00,0.00,5.26,5.26,5.26,10.53,15.79,5.26,0.00,15.79,5.26,5.26,0.00,0.00,5.26,10.53,10.53,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,21.05,5.26,0.00,5.26,10.53,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,5.26,0.00,0.00,0.00,15.79,5.26,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,5.26,0.00,0.00,57.89,31.58,0.00,5.26,0.00,0.00,5.26,0.00,0.00,5.26,0.00,10.53
Pos,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,25,97.89,78.82,6.70,99.00,8.33,12.00,36.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,4.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,4.00,0.00,8.00,0.00,0.00,0.00,0.00,12.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,8.00,4.00,0.00,0.00,44.00,12.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,0.00,8.00,16.00
Pos,Just registered as an @apple developer... Here's hoping I can actually do it... Any help greatly appreciated!,17,14.53,27.83,6.20,99.00,5.67,29.41,88.24,52.94,11.76,5.88,5.88,0.00,0.00,0.00,0.00,5.88,5.88,5.88,11.76,17.65,5.88,0.00,17.65,5.88,5.88,0.00,0.00,5.88,11.76,11.76,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,23.53,5.88,0.00,5.88,11.76,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,5.88,0.00,0.00,0.00,17.65,5.88,0.00,0.00,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.94,35.29,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,5.88
Pos," ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ",22,87.28,32.48,61.34,94.75,7.33,27.27,68.18,31.82,18.18,13.64,9.09,0.00,0.00,0.00,4.55,4.55,0.00,13.64,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,9.09,9.09,4.55,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,18.18,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,9.09
Pos,Come to the dark side @gretcheneclark: Hey @apple if you send me a free iPhone I will publicly and ceremoniously burn my #BlackBerry.,23,58.77,50.00,80.16,93.61,23.00,17.39,73.91,43.48,17.39,17.39,13.04,0.00,4.35,0.00,0.00,0.00,8.70,4.35,4.35,0.00,8.70,0.00,13.04,4.35,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35,4.35,0.00,4.35,8.70,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,13.04,8.70,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,21.74,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04
Pos,Hey @apple if you send me a free iPhone (any version will do) I will publicly and ceremoniously burn my #BlackBerry.,21,10.46,31.71,68.01,95.81,21.00,19.05,76.19,47.62,19.05,19.05,14.29,0.00,4.76,0.00,0.00,0.00,4.76,0.00,14.29,0.00,9.52,0.00,19.05,4.76,0.00,0.00,0.00,4.76,4.76,4.76,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,4.76,9.52,0.00,9.52,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,9.52,4.76,4.76,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,23.81,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,9.52
Pos,Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards,16,37.39,50.00,95.60,25.77,8.00,18.75,68.75,37.50,18.75,18.75,12.50,0.00,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,6.25,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,6.25,6.25,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.25,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,18.75
Pos,Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today out of warranty.,21,99.00,17.04,98.01,95.81,21.00,33.33,71.43,33.33,9.52,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,23.81,0.00,0.00,0.00,0.00,9.52,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,0.00,23.81,4.76,4.76,9.52,4.76,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29
Pos,@DailyDealChat @apple Thanks!!,3,92.84,50.00,1.00,99.00,3.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.33,0.00,0.00,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,66.67
Pos,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,17,97.02,72.17,6.20,25.77,8.50,23.53,29.41,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,47.06,23.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.53
Pos,@apple..good ipad,3,92.84,50.00,1.00,99.00,3.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33
Pos,@apple @siri is efffing amazing!!,5,51.43,50.00,1.00,99.00,5.00,40.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,40.00
Pos,Amazing new @Apple iOs 5 feature.  http://t.co/jatFVfpM,11,92.84,50.00,2.40,99.00,5.50,27.27,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,45.45,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27
Pos,RT @TripLingo: We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z,22,99.00,91.35,2.40,94.75,11.00,18.18,59.09,22.73,4.55,4.55,0.00,4.55,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,4.55,9.09,0.00,0.00,4.55,4.55,4.55,4.55,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,4.55,9.09,4.55,0.00,4.55,0.00,0.00,0.00,9.09,0.00,9.09,0.00,4.55,4.55,4.55,0.00,0.00,0.00,0.00,0.00,13.64,0.00,13.64,4.55,0.00,0.00,54.55,4.55,0.00,4.55,0.00,0.00,4.55,0.00,0.00,4.55,0.00,36.36
Pos,We're one of a few Featured Education Apps on the @Apple **Website** today sweet! http://t.co/0yWvbe1Z,20,99.00,84.14,3.37,96.76,10.00,15.00,60.00,25.00,5.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,5.00,10.00,0.00,0.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,50.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,35.00
Pos,When you want something done right you do it yourself... or go to @Apple. AT&T you're useless these days. #yourdaysarenumbered,21,1.18,99.00,68.01,1.00,5.25,19.05,85.71,61.90,33.33,19.05,0.00,0.00,19.05,0.00,0.00,14.29,0.00,9.52,14.29,4.76,9.52,0.00,23.81,0.00,0.00,4.76,0.00,0.00,4.76,0.00,4.76,0.00,0.00,4.76,19.05,0.00,0.00,0.00,0.00,14.29,0.00,0.00,4.76,9.52,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,4.76,19.05,0.00,23.81,4.76,9.52,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,23.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,14.29
Pos,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,21,98.33,99.00,13.15,95.81,21.00,33.33,85.71,47.62,9.52,9.52,0.00,9.52,0.00,0.00,0.00,0.00,14.29,14.29,4.76,0.00,4.76,0.00,9.52,9.52,0.00,0.00,0.00,4.76,4.76,4.76,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05,14.29,0.00,0.00,4.76,0.00,14.29,0.00,0.00,9.52,0.00,4.76,4.76,4.76,4.76,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.05
Pos,&lt;3 #ios5 @apple,4,92.84,50.00,1.00,25.77,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00
Pos,--- RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,16,54.96,73.40,7.84,25.77,8.00,12.50,68.75,31.25,6.25,6.25,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,6.25,6.25,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,6.25,0.00,0.00,6.25,18.75,6.25,0.00,6.25,12.50,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,6.25,0.00,0.00,6.25,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,18.75,12.50,0.00,0.00,50.00,6.25,0.00,6.25,0.00,6.25,0.00,18.75,0.00,0.00,0.00,12.50
